DrawDate,1,2,3,4,5,PB,PP*
Saturday 7/13/2024,9,55,59,66,69,21,2
Saturday 7/13/2024 - Double Play,40,57,59,64,65,15,
Wednesday 7/10/2024,7,11,12,27,46,26,3
Wednesday 7/10/2024 - Double Play,16,17,33,56,66,18,
Monday 7/8/2024,20,22,31,33,45,1,3
Monday 7/8/2024 - Double Play,10,17,19,25,59,8,
Saturday 7/6/2024,5,32,35,39,49,21,2
Saturday 7/6/2024 - Double Play,22,27,52,62,69,4,
Wednesday 7/3/2024,2,26,33,55,57,22,2
Wednesday 7/3/2024 - Double Play,19,22,38,55,61,23,
Monday 7/1/2024,5,9,32,39,55,9,2
Monday 7/1/2024 - Double Play,12,18,32,59,61,8,
Saturday 6/29/2024,26,51,54,61,69,25,3
Saturday 6/29/2024 - Double Play,6,28,49,53,69,8,
Wednesday 6/26/2024,4,9,36,47,56,7,5
Wednesday 6/26/2024 - Double Play,4,19,27,37,56,21,
Monday 6/24/2024,5,6,36,53,69,8,2
Monday 6/24/2024 - Double Play,1,31,33,54,60,26,
Saturday 6/22/2024,4,5,15,32,62,21,2
Saturday 6/22/2024 - Double Play,6,23,48,49,54,14,
Wednesday 6/19/2024,4,27,44,50,64,7,3
Wednesday 6/19/2024 - Double Play,16,23,35,50,59,21,
Monday 6/17/2024,30,48,53,58,66,9,2
Monday 6/17/2024 - Double Play,30,41,42,67,68,16,
Saturday 6/15/2024,4,36,48,54,56,2,3
Saturday 6/15/2024 - Double Play,30,38,44,54,55,22,
Wednesday 6/12/2024,19,30,31,61,62,21,2
Wednesday 6/12/2024 - Double Play,12,13,59,68,69,13,
Monday 6/10/2024,3,10,33,58,59,9,2
Monday 6/10/2024 - Double Play,9,15,27,32,65,10,
Saturday 6/8/2024,8,38,52,54,64,15,3
Saturday 6/8/2024 - Double Play,11,21,57,58,68,5,
Wednesday 6/5/2024,8,44,45,51,69,12,3
Wednesday 6/5/2024 - Double Play,4,11,20,45,49,21,
Monday 6/3/2024,19,29,35,36,45,16,2
Monday 6/3/2024 - Double Play,25,39,46,47,51,10,
Saturday 6/1/2024,28,38,52,54,68,8,2
Saturday 6/1/2024 - Double Play,24,40,53,56,59,5,
Wednesday 5/29/2024,17,34,56,60,61,9,2
Wednesday 5/29/2024 - Double Play,23,29,35,36,39,22,
Monday 5/27/2024,9,30,39,49,59,21,5
Monday 5/27/2024 - Double Play,20,31,39,45,56,19,
Saturday 5/25/2024,6,33,35,36,64,24,3
Saturday 5/25/2024 - Double Play,23,25,39,40,47,10,
Wednesday 5/22/2024,5,16,18,26,67,4,3
Wednesday 5/22/2024 - Double Play,10,12,19,21,67,25,
Monday 5/20/2024,1,7,48,64,68,5,2
Monday 5/20/2024 - Double Play,5,38,39,41,69,25,
Saturday 5/18/2024,19,36,37,42,59,19,2
Saturday 5/18/2024 - Double Play,15,17,28,36,60,9,
Wednesday 5/15/2024,19,42,45,55,69,6,2
Wednesday 5/15/2024 - Double Play,8,9,29,57,65,10,
Monday 5/13/2024,5,14,29,38,66,1,2
Monday 5/13/2024 - Double Play,6,14,21,58,69,16,
Saturday 5/11/2024,3,6,39,49,67,21,2
Saturday 5/11/2024 - Double Play,21,24,32,39,55,16,
Wednesday 5/8/2024,7,41,43,44,51,5,2
Wednesday 5/8/2024 - Double Play,10,22,43,55,57,2,
Monday 5/6/2024,7,23,24,56,60,25,2
Monday 5/6/2024 - Double Play,10,56,58,59,67,20,
Saturday 5/4/2024,14,20,23,53,69,4,2
Saturday 5/4/2024 - Double Play,1,8,27,63,66,26,
Wednesday 5/1/2024,1,11,19,21,68,15,2
Wednesday 5/1/2024 - Double Play,6,15,19,42,45,16,
Monday 4/29/2024,11,38,47,67,69,14,2
Monday 4/29/2024 - Double Play,11,44,50,54,59,13,
Saturday 4/27/2024,9,30,53,55,62,23,3
Saturday 4/27/2024 - Double Play,12,28,36,47,65,22,
Wednesday 4/24/2024,2,20,22,26,47,21,4
Wednesday 4/24/2024 - Double Play,23,25,45,46,62,25,
Monday 4/22/2024,12,16,33,39,52,1,2
Monday 4/22/2024 - Double Play,11,15,25,32,39,23,
Saturday 4/20/2024,4,35,41,44,58,25,3
Saturday 4/20/2024 - Double Play,25,28,36,38,68,23,
Wednesday 4/17/2024,24,29,44,47,54,2,2
Wednesday 4/17/2024 - Double Play,7,8,25,39,68,7,
Monday 4/15/2024,7,16,41,56,61,23,3
Monday 4/15/2024 - Double Play,3,25,52,60,64,17,
Saturday 4/13/2024,7,33,40,43,69,10,5
Saturday 4/13/2024 - Double Play,39,55,60,65,69,26,
Wednesday 4/10/2024,6,7,12,24,36,15,2
Wednesday 4/10/2024 - Double Play,8,21,24,57,64,2,
Monday 4/8/2024,6,21,23,39,54,23,2
Monday 4/8/2024 - Double Play,7,40,45,58,61,14,
Saturday 4/6/2024,22,27,44,52,69,9,3
Saturday 4/6/2024 - Double Play,16,19,56,59,66,14,
Wednesday 4/3/2024,11,38,41,62,65,15,3
Wednesday 4/3/2024 - Double Play,10,44,53,60,63,13,
Monday 4/1/2024,19,24,40,42,56,23,2
Monday 4/1/2024 - Double Play,12,15,28,30,39,12,
Saturday 3/30/2024,12,13,33,50,52,23,3
Saturday 3/30/2024 - Double Play,20,29,43,57,63,16,
Wednesday 3/27/2024,37,46,57,60,66,8,2
Wednesday 3/27/2024 - Double Play,31,47,52,53,57,23,
Monday 3/25/2024,7,11,19,53,68,23,2
Monday 3/25/2024 - Double Play,2,14,20,28,64,4,
Saturday 3/23/2024,6,23,25,34,51,3,2
Saturday 3/23/2024 - Double Play,18,24,43,46,47,11,
Wednesday 3/20/2024,13,22,27,54,66,9,2
Wednesday 3/20/2024 - Double Play,7,9,10,26,43,24,
Monday 3/18/2024,10,17,20,39,44,16,3
Monday 3/18/2024 - Double Play,11,44,55,63,68,17,
Saturday 3/16/2024,12,23,44,57,61,5,2
Saturday 3/16/2024 - Double Play,9,11,13,29,69,12,
Wednesday 3/13/2024,21,29,54,59,62,4,2
Wednesday 3/13/2024 - Double Play,2,25,64,65,67,5,
Monday 3/11/2024,1,3,7,16,66,5,5
Monday 3/11/2024 - Double Play,15,25,35,41,62,12,
